Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
SIP,2024-01-28,70700.67,10000,0.14144137530804163,110.37236280787721,10000,110.37236280787721,Sensex,2024
SIP,2024-02-25,73142.8,10000,0.13671885681160686,106.68719272436931,20000,217.0595555322465,Sensex,2024
SIP,2024-03-31,73651.35,10000,0.13577483644223765,105.95053586933572,30000,323.0100914015822,Sensex,2024
SIP,2024-04-28,73730.16,10000,0.13562970702898244,105.83728558299616,40000,428.84737698457843,Sensex,2024
SIP,2024-05-26,75410.39,10000,0.13260772156197576,103.47910944367217,50000,532.3264864282505,Sensex,2024
SIP,2024-06-30,79032.73,10000,0.12652985668089664,98.73630836237089,60000,631.0627947906215,Sensex,2024
SIP,2024-07-28,81332.72,10000,0.12295174684923853,95.9441661363348,70000,727.0069609269563,Sensex,2024
SIP,2024-08-25,81086.21,10000,0.12332553217125328,96.23584577451578,80000,823.242806701472,Sensex,2024
SIP,2024-09-29,85571.85,10000,0.11686086020110585,91.19120364933094,90000,914.434010350803,Sensex,2024
SIP,2024-10-27,79402.29,10000,0.1259409520808531,98.27676254677291,100000,1012.7107728975758,Sensex,2024
SIP,2024-11-24,79117.11,10000,0.12639491002641526,98.63100409001288,110000,1111.3417769875887,Sensex,2024
SIP,2024-12-29,78699.07,10000,0.12706630459546725,99.15492012802692,120000,1210.4966971156155,Sensex,2024
DIP,2024-12-22,78041.59,10000,0.12813680500358848,99.99027441650024,10000,99.99027441650024,Sensex,2024
DIP,2024-10-06,81688.45,10000,0.12241632691035269,95.52635654122462,20000,195.51663095772489,Sensex,2024
DEC_FILL,2024-12-01,79802.79,10000,0.12530890210730727,97.78354867041617,30000,293.30017962814105,Sensex,2024
DEC_FILL,2024-12-01,79802.79,10000,0.12530890210730727,97.78354867041617,40000,391.08372829855716,Sensex,2024
DEC_FILL,2024-12-01,79802.79,10000,0.12530890210730727,97.78354867041617,50000,488.86727696897333,Sensex,2024
